name,street,city,state,zip,type
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,262 CONKLIN AVE,BINGHAMTON,NY,13903,OTHER
THOMAS JEFFERSON SCHOOL,151 HELEN ST,BINGHAMTON,NY,13905,OTHER
MACARTHUR SCHOOL,1123 VESTAL AVE,BINGHAMTON,NY,13903,OTHER
THEODORE ROOSEVELT SCHOOL,9 OGDEN ST,BINGHAMTON,NY,13901,OTHER
WOODROW WILSON SCHOOL,287 PROSPECT ST,BINGHAMTON,NY,13905,OTHER
EAST MIDDLE SCHOOL,167 E FREDERICK ST,BINGHAMTON,NY,13904,OTHER
WEST MIDDLE SCHOOL,W MIDDLE AVE,BINGHAMTON,NY,13905,OTHER
BINGHAMTON HIGH SCHOOL,31 MAIN ST,BINGHAMTON,NY,13905,OTHER
HORACE MANN SCHOOL,30 COLLEGE ST,BINGHAMTON,NY,13905,OTHER
SETON CATHOLIC CENTRAL HIGH SCHOOL,70 SEMINARY AVE,BINGHAMTON,NY,13905,OTHER
SAINT JOHN SCHOOL,9 LIVINGSTON ST,BINGHAMTON,NY,13903,OTHER
SAINT THOMAS AQUINAS SCHOOL,3 AQUINAS ST,BINGHAMTON,NY,13905,OTHER
GREATER BINGHAMTON HEALTH CENTER,425 ROBINSON ST,BINGHAMTON,NY,13904,OTHER
SOUTH MOUNTAIN-HICKORY COMMON SCHOOL DISTRICT AT BINGHAMTON,2092 E HAMPTON RD,BINGHAMTON,NY,13903,OTHER
HARPURSVILLE CENTRAL SCHOOL DISTRICT,PO BOX 147,HARPURSVILLE,NY,13787,OTHER
W A OLMSTED ELEMENTARY SCHOOL,PO BOX 147,HARPURSVILLE,NY,13787,OTHER
HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,PO BOX 147,HARPURSVILLE,NY,13787,OTHER
SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,PO BOX 200,CONKLIN,NY,13748,OTHER
BROOKSIDE ELEMENTARY SCHOOL,3849 SADDLEMIRE RD,BINGHAMTON,NY,13903,OTHER
